######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
361372   2.206700E+03       9.013000E-01   7.789890E-01   Z                        Sherpa_CT10_Zee_Pt0_70_CVetoBVeto                                  
361373   2.205800E+03       9.013000E-01   1.422590E-01   Z                        Sherpa_CT10_Zee_Pt0_70_CFilterBVeto                                
361374   2.204800E+03       9.013000E-01   7.966900E-02   Z                        Sherpa_CT10_Zee_Pt0_70_BFilter                                     
361375   7.567300E+01       9.013000E-01   6.469320E-01   Z                        Sherpa_CT10_Zee_Pt70_140_CVetoBVeto                                
361376   7.587000E+01       9.013000E-01   2.182260E-01   Z                        Sherpa_CT10_Zee_Pt70_140_CFilterBVeto                              
361377   7.641600E+01       9.013000E-01   1.311460E-01   Z                        Sherpa_CT10_Zee_Pt70_140_BFilter                                   
361378   1.175500E+01       9.013000E-01   6.172290E-01   Z                        Sherpa_CT10_Zee_Pt140_280_CVetoBVeto                               
361379   1.150800E+01       9.013000E-01   2.449080E-01   Z                        Sherpa_CT10_Zee_Pt140_280_CFilterBVeto                             
361380   1.166100E+01       9.013000E-01   1.503670E-01   Z                        Sherpa_CT10_Zee_Pt140_280_BFilter                                  
361381   7.884200E-01       9.013000E-01   5.888740E-01   Z                        Sherpa_CT10_Zee_Pt280_500_CVetoBVeto                               
361382   8.468100E-01       9.013000E-01   2.617320E-01   Z                        Sherpa_CT10_Zee_Pt280_500_CFilterBVeto                             
361383   8.636100E-01       9.013000E-01   1.562120E-01   Z                        Sherpa_CT10_Zee_Pt280_500_BFilter                                  
361384   5.180800E-02       9.013000E-01   5.772550E-01   Z                        Sherpa_CT10_Zee_Pt500_700_CVetoBVeto                               
361385   5.376300E-02       9.013000E-01   2.714270E-01   Z                        Sherpa_CT10_Zee_Pt500_700_CFilterBVeto                             
361386   5.636200E-02       9.013000E-01   1.684680E-01   Z                        Sherpa_CT10_Zee_Pt500_700_BFilter                                  
361387   1.037700E-02       9.013000E-01   5.660550E-01   Z                        Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto                              
361388   1.006400E-02       9.013000E-01   3.001670E-01   Z                        Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto                            
361389   1.030100E-02       9.013000E-01   1.829220E-01   Z                        Sherpa_CT10_Zee_Pt700_1000_BFilter                                 
361390   1.356000E-03       9.013000E-01   5.368840E-01   Z                        Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto                             
361391   1.482500E-03       9.013000E-01   3.098360E-01   Z                        Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto                           
361392   1.340700E-03       9.013000E-01   1.918680E-01   Z                        Sherpa_CT10_Zee_Pt1000_2000_BFilter                                
361393   6.131700E-06       9.013000E-01   5.197280E-01   Z                        Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto                            
361394   7.768900E-06       9.013000E-01   3.932220E-01   Z                        Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto                          
361395   9.360300E-06       9.013000E-01   2.220830E-01   Z                        Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter                               
361396   2.205700E+03       9.013000E-01   7.783810E-01   Z                        Sherpa_CT10_Zmumu_Pt0_70_CVetoBVeto                                
361397   2.205500E+03       9.013000E-01   1.418810E-01   Z                        Sherpa_CT10_Zmumu_Pt0_70_CFilterBVeto                              
361398   2.202800E+03       9.013000E-01   7.962400E-02   Z                        Sherpa_CT10_Zmumu_Pt0_70_BFilter                                   
361399   7.588900E+01       9.013000E-01   6.491060E-01   Z                        Sherpa_CT10_Zmumu_Pt70_140_CVetoBVeto                              
361400   7.617900E+01       9.013000E-01   2.192950E-01   Z                        Sherpa_CT10_Zmumu_Pt70_140_CFilterBVeto                            
361401   7.595700E+01       9.013000E-01   1.302930E-01   Z                        Sherpa_CT10_Zmumu_Pt70_140_BFilter                                 
361402   1.162100E+01       9.013000E-01   6.100260E-01   Z                        Sherpa_CT10_Zmumu_Pt140_280_CVetoBVeto                             
361403   1.162300E+01       9.013000E-01   2.412490E-01   Z                        Sherpa_CT10_Zmumu_Pt140_280_CFilterBVeto                           
361404   1.167500E+01       9.013000E-01   1.480240E-01   Z                        Sherpa_CT10_Zmumu_Pt140_280_BFilter                                
361405   8.631500E-01       9.013000E-01   5.808410E-01   Z                        Sherpa_CT10_Zmumu_Pt280_500_CVetoBVeto                             
361406   8.672100E-01       9.013000E-01   2.721030E-01   Z                        Sherpa_CT10_Zmumu_Pt280_500_CFilterBVeto                           
361407   8.629900E-01       9.013000E-01   1.630240E-01   Z                        Sherpa_CT10_Zmumu_Pt280_500_BFilter                                
361408   5.443400E-02       9.013000E-01   5.663720E-01   Z                        Sherpa_CT10_Zmumu_Pt500_700_CVetoBVeto                             
361409   5.623100E-02       9.013000E-01   2.658740E-01   Z                        Sherpa_CT10_Zmumu_Pt500_700_CFilterBVeto                           
361410   5.495600E-02       9.013000E-01   1.764390E-01   Z                        Sherpa_CT10_Zmumu_Pt500_700_BFilter                                
361411   8.407300E-03       9.013000E-01   5.613050E-01   Z                        Sherpa_CT10_Zmumu_Pt700_1000_CVetoBVeto                            
